[2026-04-07 12:43:12] [INFO    ] discord.client: logging in using static token
[2026-04-07 12:43:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-04-07 12:43:12] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-04-07 12:43:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1456989640111292508', 'username': 'YOMIH.settings', 'avatar': None, 'discriminator': '7626', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-04-07 12:43:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-04-07 12:43:12] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-04-07 12:43:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1456989640111292508', 'name': 'YOMIH.settings', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1456989640111292508', 'username': 'YOMIH.settings', 'avatar': None, 'discriminator': '7626', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '61edbada78c1b211a88abc2abe30496bb463740f6183ca2e9d7ea9ec5d92b518', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '635187905429504010', 'username': 'zaghen', 'avatar': 'b677b819b04749d350ae851180fa16cf', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'Zaghen', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '703693205786460161', 'identity_enabled': True, 'tag': 'SIN', 'badge': 'b1a70b12c9fc93280fd0f46b4365019c'}, 'primary_guild': {'identity_guild_id': '703693205786460161', 'identity_enabled': True, 'tag': 'SIN', 'badge': 'b1a70b12c9fc93280fd0f46b4365019c'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-04-07 12:43:12] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-04-07 12:43:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-cgwv",{"micros":0.0}]']}}
[2026-04-07 12:43:12] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-04-07 12:43:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-07 12:43:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'YOMIH.settings', 'primary_guild': None, 'mfa_enabled': False, 'id': '1456989640111292508', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7626', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd6976600c2d4cd2312b70f7bd832ee6b', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1394613406102851614'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['bucharest', 'milan', 'frankfurt', 'warsaw', 'paris'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1456989640111292508', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-cgwv",{"micros":136553,"calls":["id_created",{"micros":1081,"calls":[]},"session_lookup_time",{"micros":272,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-c-31",{"micros":133950,"calls":["start_session",{"micros":78843,"calls":["prd-rpc-5bb66b57f-mlmwf",{"micros":20317,"calls":["get_user",{"micros":4729},"get_guilds",{"micros":2874},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":1347},"apex_experiments",{"micros":51248},"sessions_experiments",{"micros":11},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":1},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":43,"calls":[]},"presence_started",{"micros":374,"calls":[]},"guilds_started",{"micros":80,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":54576,"calls":[]},"connect_finished",{"micros":54592,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-04-07 12:43:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-07 12:43:13] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d6976600c2d4cd2312b70f7bd832ee6b).
[2026-04-07 12:43:13] [DEBUG   ] discord.client: Dispatching event connect
[2026-04-07 12:43:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_tier': 0, 'mfa_level': 0, 'max_stage_video_channel_users': 50, 'max_members': 25000000, 'experiments': {'evaluation_id': None, 'assignments': []}, 'icon': None, 'profile': None, 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'system_channel_id': '1394613406102851617', 'voice_states': [], 'preferred_locale': 'en-US', 'hub_type': None, 'system_channel_flags': 0, 'id': '1394613406102851614', 'premium_subscription_count': 0, 'application_id': None, 'public_updates_channel_id': None, 'name': 'Server di Zaghen', 'nsfw_level': 0, 'features': [], 'vanity_url_code': None, 'threads': [], 'max_video_channel_users': 25, 'rules_channel_id': None, 'game_application_ids': None, 'home_header': None, 'members': [{'user': {'username': 'YOMIH.settings', 'public_flags': 0, 'primary_guild': None, 'id': '1456989640111292508', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7626', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1457759730574426299'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T15:36:43.729000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'description': None, 'embedded_activities': [], 'incidents_data': None, 'premium_features': None, 'emojis': [], 'splash': None, 'member_count': 2, 'premium_progress_bar_enabled': False, 'default_message_notifications': 0, 'moderator_reporting': None, 'explicit_content_filter': 0, 'banner': None, 'stage_instances': [], 'afk_channel_id': None, 'large': False, 'joined_at': '2026-01-05T15:36:43.729000+00:00', 'owner_id': '635187905429504010', 'unavailable': False, 'activity_instances': [], 'stickers': [], 'region': 'deprecated', 'safety_alerts_channel_id': None, 'channels': [{'version': 1752572146772, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canali testuali', 'id': '1394613406102851615', 'flags': 0}, {'version': 1752572146776, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canali vocali', 'id': '1394613406102851616', 'flags': 0}, {'version': 1752572146805, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1394613406102851615', 'name': 'generale', 'last_message_id': '1491025232339927130', 'id': '1394613406102851617', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1752572146830, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1394613406102851616', 'name': 'Generale', 'last_message_id': None, 'id': '1394613406677598208', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'lazy': True, 'nsfw': False, 'presences': [], 'inventory_settings': None, 'verification_level': 0, 'roles': [{'version': 1752572146770, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1394613406102851614', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1767627417090, 'unicode_emoji': None, 'tags': {'bot_id': '1456989640111292508'}, 'position': 1, 'permissions': '581979074849878', 'name': 'YOMIH.settings', 'mentionable': False, 'managed': True, 'id': '1457759730574426299', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'version': 1767628966151, 'application_command_counts': {}, 'discovery_splash': None, 'soundboard_sounds': [], 'premium_progress_bar_enabled_user_updated_at': None, 'owner_configured_content_level': 0, 'afk_timeout': 300}}
[2026-04-07 12:43:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-07 12:43:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'cd7ef2c3c39a0d9105f5b5592f0098af', 'members': [{'user': {'username': 'zaghen', 'public_flags': 0, 'primary_guild': {'tag': 'SIN', 'identity_guild_id': '703693205786460161', 'identity_enabled': True, 'badge': 'b1a70b12c9fc93280fd0f46b4365019c'}, 'id': '635187905429504010', 'global_name': 'Zaghen', 'display_name_styles': None, 'display_name': 'Zaghen', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b677b819b04749d350ae851180fa16cf'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T09:35:46.713000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'YOMIH.settings', 'public_flags': 0, 'primary_guild': None, 'id': '1456989640111292508', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7626', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1457759730574426299'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T15:36:43.729000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1394613406102851614', 'chunk_index': 0, 'chunk_count': 1}}
[2026-04-07 12:43:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-07 12:43:13] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1394613406102851614.
[2026-04-07 12:43:15] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-07 12:43:15] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-07 12:43:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '635187905429504010', 'timestamp': 1775558596, 'member': {'user': {'username': 'zaghen', 'public_flags': 0, 'primary_guild': {'tag': 'SIN', 'identity_guild_id': '703693205786460161', 'identity_enabled': True, 'badge': 'b1a70b12c9fc93280fd0f46b4365019c'}, 'id': '635187905429504010', 'global_name': 'Zaghen', 'display_name_styles': None, 'display_name': 'Zaghen', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b677b819b04749d350ae851180fa16cf'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T09:35:46.713000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1394613406102851617', 'guild_id': '1394613406102851614'}}
[2026-04-07 12:43:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-07 12:43:15] [DEBUG   ] discord.client: Dispatching event typing
[2026-04-07 12:43:15] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-04-07 12:43:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-07T10:43:19.343000+00:00', 'pinned': False, 'nonce': '1491025558199336960', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T09:35:46.713000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1491025576457408673', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!show_mods', 'components': [], 'channel_type': 0, 'channel_id': '1394613406102851617', 'author': {'username': 'zaghen', 'public_flags': 0, 'primary_guild': {'tag': 'SIN', 'identity_guild_id': '703693205786460161', 'identity_enabled': True, 'badge': 'b1a70b12c9fc93280fd0f46b4365019c'}, 'id': '635187905429504010', 'global_name': 'Zaghen', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'SIN', 'identity_guild_id': '703693205786460161', 'identity_enabled': True, 'badge': 'b1a70b12c9fc93280fd0f46b4365019c'}, 'avatar_decoration_data': None, 'avatar': 'b677b819b04749d350ae851180fa16cf'}, 'attachments': [], 'guild_id': '1394613406102851614'}}
[2026-04-07 12:43:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-07 12:43:18] [DEBUG   ] discord.client: Dispatching event message
[2026-04-07 12:43:18] [DEBUG   ] discord.client: Dispatching event command
[2026-04-07 12:43:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-07T10:43:19.854000+00:00', 'pinned': False, 'nonce': '8337075946813348067', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457759730574426299'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-05T15:36:43.729000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1491025578600566977', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'pino 1 steam link\npippo 1 steam link', 'components': [], 'channel_type': 0, 'channel_id': '1394613406102851617', 'author': {'username': 'YOMIH.settings', 'public_flags': 0, 'primary_guild': None, 'id': '1456989640111292508', 'global_name': None, 'display_name_styles': None, 'discriminator': '7626', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1394613406102851614'}}
